team,rating,rank
Virginia Cavaliers,1.2647982297609088,1
North Carolina Tar Heels,0.8257674112274906,2
Virginia Tech Hokies,0.7342386439748099,3
Duke Blue Devils,0.5473872685692561,4
Florida State Seminoles,0.28754819388108155,5
Louisville Cardinals,0.1767467491057016,6
North Carolina State Wolfpack,-0.04521079951153317,7
Miami (FL) Hurricanes,-0.04721302575479819,8
Syracuse Orange,-0.17444730899257885,9
Clemson Tigers,-0.18492942445461194,10
Boston College Eagles,-0.39736204419446314,11
Pittsburgh Panthers,-0.5894754229904163,12
Notre Dame Fighting Irish,-0.6162565883109108,13
Georgia Tech Yellow Jackets,-0.8746759902303933,14
Wake Forest Demon Deacons,-0.9069158920795428,15
